Davik/2.1.0 (Linux; U; Android 11; Infinix X688B Build/RP1A.200720.011) [FBAN/MessengerLite;FBAV/324.0.0.2.95;FBPN/com.facebook.mlite;FBLC/en;FBBV/708710275;FBCR/Jazz;FBMF/INFINIX MOBILITY LIMITED;FBBD/Infinix;FBDV/Infinix X688B;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.25,height=,width=};]
Dalvik/2.1.0 (Linux; U; Android 8; SM-S572F Build/OPR3.487944.058) [FBAN/FB4A;FBAV/449.0.0.72.42;FBBV/148315154;FBRV/0;FBPN/com.facebook.katana;FBLC/en_GB;FBMF/SM;FBBD/SM;FBDV/SM-S572F;FBSV/8;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; Infinix 452 Max Build/TQ1A.953328.079) [FBAN/FB4A;FBAV/345.0.0.66.35;FBBV/715629547;FBRV/0;FBPN/com.facebook.katana;FBLC/bs_BA;FBMF/Infinix;FBBD/Infinix;FBDV/Infinix 452 Max;FBSV/13;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 11; RMX8961 Build/RP1A.865234.065) [FBAN/FB4A;FBAV/120.0.0.31.38;FBBV/321789964;FBRV/0;FBPN/com.facebook.katana;FBLC/bg_BG;FBMF/RMX;FBBD/RMX;FBDV/RMX8961;FBSV/11;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 5; RMX4970 Build/L6DGAN) [FBAN/FB4A;FBAV/334.0.0.13.83;FBBV/879978014;FBRV/0;FBPN/com.facebook.katana;FBLC/ms_MY;FBMF/RMX;FBBD/RMX;FBDV/RMX4970;FBSV/5;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; Mi N942 Ultra Build/TQ1A.426848.030) [FBAN/FB4A;FBAV/319.0.0.88.24;FBBV/954312027;FBRV/0;FBPN/com.facebook.katana;FBLC/ca_ES;FBMF/Mi;FBBD/Mi;FBDV/Mi N942 Ultra;FBSV/13;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; Honor 720 Ultra Build/QQ1D.233457.097) [FBAN/FB4A;FBAV/112.0.0.26.32;FBBV/563605551;FBRV/0;FBPN/com.facebook.katana;FBLC/ms_MY;FBMF/Honor;FBBD/Honor;FBDV/Honor 720 Ultra;FBSV/10;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; RMX6634 Build/TP1A.270122.060) [FBAN/FB4A;FBAV/316.0.0.11.57;FBBV/701315332;FBRV/0;FBPN/com.facebook.katana;FBLC/es_LA;FBMF/RMX;FBBD/RMX;FBDV/RMX6634;FBSV/13;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 5; Vivo X395R Build/LGFUIK) [FBAN/FB4A;FBAV/222.0.0.23.73;FBBV/646377461;FBRV/0;FBPN/com.facebook.katana;FBLC/ro_RO;FBMF/Vivo;FBBD/Vivo;FBDV/Vivo X395R;FBSV/5;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 9; Redmi D575 Build/PD2A.610195.029) [FBAN/FB4A;FBAV/370.0.0.12.76;FBBV/588708373;FBRV/0;FBPN/com.facebook.katana;FBLC/ne_NP;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi D575;FBSV/9;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 12; SM-J169D Build/SQ1A.801094.015) [FBAN/FB4A;FBAV/296.0.0.24.12;FBBV/772772755;FBRV/0;FBPN/com.facebook.katana;FBLC/ca_ES;FBMF/SM;FBBD/SM;FBDV/SM-J169D;FBSV/12;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Vivo I998Y Build/MM9RUS) [FBAN/FB4A;FBAV/227.0.0.50.19;FBBV/587590288;FBRV/0;FBPN/com.facebook.katana;FBLC/it_IT;FBMF/Vivo;FBBD/Vivo;FBDV/Vivo I998Y;FBSV/6;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; Itel P136T Build/QQ1B.436863.060) [FBAN/FB4A;FBAV/231.0.0.96.80;FBBV/391286978;FBRV/0;FBPN/com.facebook.katana;FBLC/en_GB;FBMF/Itel;FBBD/Itel;FBDV/Itel P136T;FBSV/10;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; LG-136Q Build/M0YJZU) [FBAN/FB4A;FBAV/202.0.0.74.97;FBBV/701025309;FBRV/0;FBPN/com.facebook.katana;FBLC/bn_IN;FBMF/LG;FBBD/LG;FBDV/LG-136Q;FBSV/6;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; Infinix L867 Max Build/QQ1B.182495.042) [FBAN/FB4A;FBAV/223.0.0.25.69;FBBV/698597079;FBRV/0;FBPN/com.facebook.katana;FBLC/es_ES;FBMF/Infinix;FBBD/Infinix;FBDV/Infinix L867 Max;FBSV/10;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 12; Nokia NW77P Build/SD2A.444065.079) [FBAN/FB4A;FBAV/272.0.0.80.74;FBBV/608808599;FBRV/0;FBPN/com.facebook.katana;FBLC/bn_IN;FBMF/Nokia;FBBD/Nokia;FBDV/Nokia NW77P;FBSV/12;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 7; Sony Xperia 332C Build/NMVCK6) [FBAN/FB4A;FBAV/391.0.0.76.91;FBBV/936529999;FBRV/0;FBPN/com.facebook.katana;FBLC/th_TH;FBMF/Sony;FBBD/Sony;FBDV/Sony Xperia 332C;FBSV/7;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 5; Infinix I362R Build/L251FS) [FBAN/FB4A;FBAV/358.0.0.36.16;FBBV/299498467;FBRV/0;FBPN/com.facebook.katana;FBLC/bs_BA;FBMF/Infinix;FBBD/Infinix;FBDV/Infinix I362R;FBSV/5;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 12; SM-N430B Build/SP2A.290966.049) [FBAN/FB4A;FBAV/189.0.0.18.16;FBBV/924684635;FBRV/0;FBPN/com.facebook.katana;FBLC/ro_RO;FBMF/SM;FBBD/SM;FBDV/SM-N430B;FBSV/12;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 8; Redmi 258 Max Build/OPR3.507021.013) [FBAN/FB4A;FBAV/119.0.0.15.34;FBBV/786560807;FBRV/0;FBPN/com.facebook.katana;FBLC/bn_IN;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi 258 Max;FBSV/8;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 7; Infinix T72 Max Build/NOVNUE) [FBAN/FB4A;FBAV/423.0.0.86.85;FBBV/635314267;FBRV/0;FBPN/com.facebook.katana;FBLC/fr_CA;FBMF/Infinix;FBBD/Infinix;FBDV/Infinix T72 Max;FBSV/7;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 5; Oppo 843 Ultra Build/L5808N) [FBAN/FB4A;FBAV/282.0.0.93.74;FBBV/511050696;FBRV/0;FBPN/com.facebook.katana;FBLC/th_TH;FBMF/Oppo;FBBD/Oppo;FBDV/Oppo 843 Ultra;FBSV/5;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Nokia Asha B322 Ultra Build/MTZPYY) [FBAN/FB4A;FBAV/181.0.0.55.92;FBBV/509543072;FBRV/0;FBPN/com.facebook.katana;FBLC/sl_SI;FBMF/Nokia;FBBD/Nokia;FBDV/Nokia Asha B322 Ultra;FBSV/6;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 7; Redmi Note 555O Build/NVEE7D) [FBAN/FB4A;FBAV/271.0.0.93.54;FBBV/347615296;FBRV/0;FBPN/com.facebook.katana;FBLC/fr_FR;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi Note 555O;FBSV/7;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 6; Redmi Note J649T Build/M725L1) [FBAN/FB4A;FBAV/250.0.0.32.29;FBBV/455862725;FBRV/0;FBPN/com.facebook.katana;FBLC/bs_BA;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi Note J649T;FBSV/6;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; Vivo T272S Build/QQ1B.532499.046) [FBAN/FB4A;FBAV/306.0.0.93.36;FBBV/353570989;FBRV/0;FBPN/com.facebook.katana;FBLC/da_DK;FBMF/Vivo;FBBD/Vivo;FBDV/Vivo T272S;FBSV/10;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 9; Itel 296 Build/PD2A.595097.083) [FBAN/FB4A;FBAV/380.0.0.62.81;FBBV/158025009;FBRV/0;FBPN/com.facebook.katana;FBLC/sl_SI;FBMF/Itel;FBBD/Itel;FBDV/Itel 296;FBSV/9;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; Itel C229Z Build/QQ1C.570802.040) [FBAN/FB4A;FBAV/405.0.0.86.64;FBBV/270522345;FBRV/0;FBPN/com.facebook.katana;FBLC/th_TH;FBMF/Itel;FBBD/Itel;FBDV/Itel C229Z;FBSV/10;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; Honor 212T Build/TD1A.261710.058) [FBAN/FB4A;FBAV/190.0.0.45.42;FBBV/477791250;FBRV/0;FBPN/com.facebook.katana;FBLC/ne_NP;FBMF/Honor;FBBD/Honor;FBDV/Honor 212T;FBSV/13;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 14; LM-N420 Ultra Build/TD1A.812147.052) [FBAN/FB4A;FBAV/317.0.0.80.60;FBBV/492555367;FBRV/0;FBPN/com.facebook.katana;FBLC/ne_NP;FBMF/LM;FBBD/LM;FBDV/LM-N420 Ultra;FBSV/14;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 11; Huawei T597X Build/RQ3A.846645.035) [FBAN/FB4A;FBAV/261.0.0.71.57;FBBV/341905039;FBRV/0;FBPN/com.facebook.katana;FBLC/bg_BG;FBMF/Huawei;FBBD/Huawei;FBDV/Huawei T597X;FBSV/11;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 11; Redmi Note J618 Pro Build/RQ1D.771864.085) [FBAN/FB4A;FBAV/281.0.0.11.23;FBBV/579145493;FBRV/0;FBPN/com.facebook.katana;FBLC/hr_HR;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi Note J618 Pro;FBSV/11;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; Redmi C556R Build/TQ1A.660390.019) [FBAN/FB4A;FBAV/280.0.0.75.86;FBBV/315573673;FBRV/0;FBPN/com.facebook.katana;FBLC/th_TH;FBMF/Redmi;FBBD/Redmi;FBDV/Redmi C556R;FBSV/13;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 9; Nokia NR741N Build/PQ1A.715667.038) [FBAN/FB4A;FBAV/197.0.0.29.62;FBBV/203994146;FBRV/0;FBPN/com.facebook.katana;FBLC/ar_AR;FBMF/Nokia;FBBD/Nokia;FBDV/Nokia NR741N;FBSV/9;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
